dataset,task,method,experiment,seed,split,check,status,value,threshold,notes
UCI_HydraulicSys_fault_score,regression,pstree,base,21,0,metrics_guard_RMSE_ge_MAE,OK,0.033163158395685816,>= 0,
UCI_HydraulicSys_fault_score,regression,pstree,base,21,0,native_vs_computed_RMSE,OK,0.0019712440704272027,<= 0.01,"native=0.169377, computed=0.167406"
UCI_HydraulicSys_fault_score,regression,pstree,base,34,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,pstree,base,34,0,metrics_guard_RMSE_ge_MAE,OK,0.02727541085224884,>= 0,
UCI_HydraulicSys_fault_score,regression,pstree,base,34,0,native_vs_computed_RMSE,INFO,0.02684850627178574,<= 0.01,"native=0.126807, computed=0.099959"
UCI_HydraulicSys_fault_score,regression,pstree,base,55,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,pstree,base,55,0,metrics_guard_RMSE_ge_MAE,OK,0.029223733882518227,>= 0,
UCI_HydraulicSys_fault_score,regression,pstree,base,55,0,native_vs_computed_RMSE,OK,0.00027379055914655837,<= 0.01,"native=0.125074, computed=0.124800"
UCI_HydraulicSys_fault_score,regression,pstree,base,89,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,pstree,base,89,0,metrics_guard_RMSE_ge_MAE,OK,0.02783544187218258,>= 0,
UCI_HydraulicSys_fault_score,regression,pstree,base,89,0,native_vs_computed_RMSE,OK,0.0,<= 0.01,"native=0.126034, computed=0.126034"
UCI_HydraulicSys_fault_score,regression,rils_rols,base,1,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,rils_rols,base,1,0,metrics_guard_RMSE_ge_MAE,OK,0.00865010653194143,>= 0,
UCI_HydraulicSys_fault_score,regression,rils_rols,base,1,0,native_vs_computed_RMSE,OK,1.240818832677626e-05,<= 0.01,"native=0.037000, computed=0.036987"
